month,state,handgun,long_gun,total,population
2019-11,New Hampshire,4803,3289,8092,1316470
2019-11,New Jersey,3721,3914,7635,8791894
2019-11,New Mexico,6317,4586,10903,2059179
2019-11,New York,8355,18336,26691,19378102
2019-11,North Carolina,2394,18720,21114,9535483
2019-11,North Dakota,1731,3237,4968,672591
2019-11,Ohio,25230,24933,50163,11536504
2019-11,Oklahoma,18679,12894,31573,3751351
2019-11,Oregon,15105,11503,26608,3831074
2019-11,Pennsylvania,49972,22212,72184,12702379
2019-11,Rhode Island,1039,747,1786,1052567
2019-11,South Carolina,11531,9303,20834,4625364
2019-11,South Dakota,2687,4634,7321,814180
2019-11,Tennessee,27826,21101,48927,6346105
2019-11,Texas,57252,41942,99194,25145561
2019-11,Utah,4095,5038,9133,2763885
2019-11,Vermont,1176,1739,2915,625741
2019-11,Virginia,27949,23374,51323,8001024
2019-11,Washington,13487,10163,23650,6724540
2019-11,West Virginia,5980,9834,15814,1852994
2019-11,Wisconsin,15182,18344,33526,5686986
2019-11,Wyoming,2094,2425,4519,563626
2019-10,Alabama,16759,13692,30451,4779736
2019-10,Arizona,11543,7509,19052,6392017
2019-10,Arkansas,4809,7173,11982,2915918
2019-10,California,32128,23005,55133,37253956
2019-10,Colorado,15537,13269,28806,5029196
2019-10,Connecticut,4347,1990,6337,3574097
2019-10,Delaware,1624,1749,3373,897934
2019-10,District of Columbia,113,3,116,601723
2019-10,Florida,47504,19816,67320,18801310
2019-10,Georgia,11105,9858,20963,9687653
2019-10,Idaho,3784,5530,9314,1567582
2019-10,Illinois,17482,10040,27522,12830632
2019-10,Indiana,16204,12595,28799,6483802
2019-10,Iowa,174,2940,3114,3046355
2019-10,Kansas,4917,5227,10144,2853118
2019-10,Kentucky,8759,8890,17649,4339367
2019-10,Louisiana,8450,11231,19681,4533372
2019-10,Maine,2997,5699,8696,1328361
2019-10,Maryland,3372,5731,9103,5773552
2019-10,Massachusetts,4064,2561,6625,6547629
2019-10,Michigan,9550,12790,22340,9883640
2019-10,Minnesota,8762,16263,25025,5303925
2019-10,Mississippi,6506,7086,13592,2967297
2019-10,Missouri,16633,18732,35365,5988927
2019-10,Montana,2612,5541,8153,989415
2019-10,Nebraska,81,2182,2263,1826341
2019-10,Nevada,4402,2573,6975,2700551
2019-10,New Hampshire,4876,3219,8095,1316470
2019-10,New Jersey,3756,3226,6982,8791894
2019-10,New Mexico,5518,3964,9482,2059179
2019-10,New York,8810,16600,25410,19378102
2019-10,North Carolina,1370,12811,14181,9535483
2019-10,North Dakota,1446,3638,5084,672591
2019-10,Ohio,18896,16127,35023,11536504
2019-10,Oklahoma,10536,9256,19792,3751351
2019-10,Oregon,13377,10705,24082,3831074
2019-10,Pennsylvania,44371,17094,61465,12702379
2019-10,Rhode Island,942,698,1640,1052567
2019-10,South Carolina,8542,6648,15190,4625364
2019-10,South Dakota,2216,5161,7377,814180
2019-10,Tennessee,21973,15268,37241,6346105
2019-10,Texas,41994,33957,75951,25145561
2019-10,Utah,2898,3819,6717,2763885
2019-10,Vermont,1283,1860,3143,625741
2019-10,Virginia,20887,15388,36275,8001024
2019-10,Washington,13948,9851,23799,6724540
2019-10,West Virginia,5026,6883,11909,1852994
